task,benchmark,auroc_mean,auroc_std,f1_mean,f1_std
chaos_onset,random,0.4991449725340339,0.040174555587497475,0.3334967978898149,0.04116699259614155
chaos_onset,family_labels,0.9007305349892525,0.007406641144353571,0.6639275571125097,0.09266304156971843
chaos_onset,features_knn,0.9640700382135181,0.012538895187626272,0.8031897904415541,0.04695756878946206
chaos_onset,manifold_knn,0.9593506687365655,0.013953014903803388,0.7431380246820527,0.04756839411963526
chaos_onset,surrogate_manifold,0.6770721877239073,0.03895281852169905,0.3199284182606895,0.08722063475498534
synchronization_onset,random,0.49926319176319184,0.03589215063966265,0.373514889078828,0.038785798400149854
synchronization_onset,family_labels,0.8898501179751179,0.0064225532330268375,0.6382606480051796,0.051459361524171104
synchronization_onset,features_knn,0.9335853710853711,0.00866145385437634,0.7807818940324093,0.03294980526561867
synchronization_onset,manifold_knn,0.9310191441441441,0.010331248821054864,0.7862694967196814,0.03328240364385738
synchronization_onset,surrogate_manifold,0.6708148326898328,0.0353058963454687,0.37961754819258786,0.06996244127119161
stability_collapse,random,0.5000179643929644,0.037008617860349015,0.3730625701859267,0.040681030234101065
stability_collapse,family_labels,0.9093181574431575,0.007945918224094321,0.7342021107340624,0.04018334169182118
stability_collapse,features_knn,0.9591942835692835,0.010709886103901086,0.8154883122582883,0.03361250392302073
stability_collapse,manifold_knn,0.9827490883740883,0.00672003488145859,0.8891901652241111,0.02831292276541355
stability_collapse,surrogate_manifold,0.6676144894894895,0.03727758936182683,0.3707904695035266,0.07966154827227592
extinction,random,0.4984616073561023,0.04043056762947571,0.3320431724109297,0.041847451692218866
extinction,family_labels,0.8765975041796036,0.008878607829001338,0.5713280607465403,0.1307613597083088
extinction,features_knn,0.9545515882493432,0.009555334970487496,0.8010971153279732,0.02563068106257126
extinction,manifold_knn,0.9865103295915931,0.0062696411112066865,0.8431823232525824,0.027608072940979295
extinction,surrogate_manifold,0.6768727609266779,0.03695080042700072,0.3212832450212022,0.07830671541319412
regime_transition,random,0.5031549962504687,0.03309666120321976,0.44617573585713843,0.037467988841378766
regime_transition,family_labels,0.8908274746906638,0.007027386876745559,0.7979388097499165,0.02301124501007755
regime_transition,features_knn,0.9643630483689537,0.010037449562169122,0.8655602303430038,0.030877862414078045
regime_transition,manifold_knn,0.974695819272591,0.008937335457943523,0.8625743982944967,0.03126775668799789
regime_transition,surrogate_manifold,0.6552073959505063,0.03493392260596406,0.49691208714674245,0.0569402903300158
