Rank,X,Y,Model,Pooled_R2,MeanTransfer_R2,InvarianceScore,CV_slope,Permutation_p,Bootstrap_CI_lo,Bootstrap_CI_hi,RankingScore,LeakageType,LikelyDerivational
1,tau_m2,PR,linear,0.6729857819905214,0.21666666666666667,0.0,0.0046302437151846815,,,,0.46568626472800767,INDEPENDENT,False
2,mean_curvature,divergence_rate,rf,0.8780195086604984,-0.5710967446489282,1.0277733747083608,1.0,0.0,,,0.4637911386773579,INDEPENDENT,False
3,effective_rank,spectral_entropy,rf,0.8664358835315163,-0.5319483856698288,0.9720466855917188,1.0,0.0,,,0.4579388734444453,INDEPENDENT,False
4,divergence_rate,PR,linear,-2.0473933649289098,0.6555555555555556,-16.08666215301286,0.0008474055419505318,,,,0.44824859277913826,INDEPENDENT,False
5,tau_m4,PR,linear,0.9146919431279621,0.0,0.0,0.05694361608231934,1.0,-7.980450236966824,1.0,0.4400402355481662,INDEPENDENT,False
6,local_dim,laminarity,rf,0.9063187114981797,-1.4199157546152035,1.115714309359959,1.0,0.0,0.9307841437134982,0.9709782816343095,0.4184587974469008,INDEPENDENT,False
7,laminarity,divergence_rate,rf,0.9000822281343417,-0.8340621311785092,0.9796385295271901,1.0,0.0,0.9329128270593885,0.9651157678327718,0.41582249763537876,INDEPENDENT,False
8,tau_m2,spectral_entropy,rf,0.8426070951530104,-0.8999707670806991,1.029506744545381,1.0,,,,0.4130360886046218,INDEPENDENT,False
9,tau_m1,temporal_corr,rf,0.9373936066916074,-190.24803753797644,1.0700612649598846,1.0,0.0,0.9591582299424183,0.9852742813977735,0.4108819333265573,INDEPENDENT,False
10,tau_m4,phase_corr,rf,0.8818455544805963,-48.870616022618655,1.0753573907168685,1.0,0.0,0.90008921824659,0.964932821782111,0.40916375586740356,INDEPENDENT,False
11,tau_m2,phase_corr,rf,0.9018579540446612,-31.063182902239337,1.0659249103986754,1.0,0.0,0.9186148223471753,0.9708345333219119,0.40827787978196817,INDEPENDENT,False
12,tau_m3,temporal_corr,rf,0.9166128940163992,-3687.052491917908,1.0620195055970172,1.0,0.0,0.9443610793610083,0.9793878522818465,0.4082345458202234,INDEPENDENT,False
13,phase_corr,effective_rank,rf,0.8886424142961512,-6.450877164579547,1.0594840250135649,1.0,0.0,0.9277869677929296,0.9656455183992304,0.40632892571752055,INDEPENDENT,False
14,tau_m3,effective_rank,rf,0.9112783092134513,-6.315631725327188,1.0522231889559777,1.0,0.0,0.9416223152113308,0.9713837134529099,0.40600855325186813,INDEPENDENT,False
15,tau_m1,local_dim,rf,0.8673717269655765,-4.952645430555917,1.061259134694057,1.0,0.0,,,0.4056204132870902,INDEPENDENT,False
16,phase_corr,pc1,rf,0.8794356977749603,-5.8394544147561716,1.0557007217493244,1.0,0.0,0.918206091734773,0.9596757370325748,0.40511192923861294,INDEPENDENT,False
17,temporal_corr,local_dim,rf,0.8403499202311908,-6.004260584749484,1.065098937371061,1.0,,,,0.4050372834857718,INDEPENDENT,False
18,tau_m4,local_dim,rf,0.8438737094329645,-6.35246006078802,1.0640294990139965,1.0,,,,0.4049995852744475,INDEPENDENT,False
19,tau_m3,pc1,rf,0.908926996007493,-6.937074386767628,1.045122546022727,1.0,0.0,0.9380282407853504,0.9711233323190704,0.40447085900492,INDEPENDENT,False
20,tau_m3,laminarity,rf,0.903750464920718,-3.543134939285662,1.045739574708371,1.0,0.0,0.930469576375989,0.9683131809173942,0.40433543818771017,INDEPENDENT,False
