X,Y,model,family,family_r2
tau_m1,A,linear,branching,1.0
tau_m1,A,linear,ca,1.0
tau_m1,A,linear,gbm,1.0
tau_m1,A,linear,henon,1.0
tau_m1,A,linear,ising,1.0
tau_m1,A,linear,kuramoto,1.0
tau_m1,A,linear,logistic,1.0
tau_m1,A,linear,lorenz,1.0
tau_m1,A,linear,lotka,1.0
tau_m1,A,linear,markov,1.0
tau_m1,A,linear,rbn,1.0
A,PR,linear,branching,0.0
A,PR,linear,ca,0.0
A,PR,linear,gbm,0.0
A,PR,linear,henon,0.0
A,PR,linear,ising,0.0
A,PR,linear,kuramoto,0.0
A,PR,linear,logistic,1.0
A,PR,linear,lorenz,0.0
A,PR,linear,lotka,0.0
A,PR,linear,markov,1.0
A,PR,linear,rbn,-0.75
effective_rank,PR,linear,branching,0.0
effective_rank,PR,linear,ca,0.0
effective_rank,PR,linear,gbm,0.0
effective_rank,PR,linear,henon,0.0
effective_rank,PR,linear,ising,0.0
effective_rank,PR,linear,kuramoto,0.0
effective_rank,PR,linear,logistic,0.0
effective_rank,PR,linear,lorenz,0.0
effective_rank,PR,linear,lotka,0.0
effective_rank,PR,linear,markov,1.0
effective_rank,PR,linear,rbn,0.0
pc1,abl_full_pc1,linear,branching,1.0
pc1,abl_full_pc1,linear,ca,1.0
pc1,abl_full_pc1,linear,gbm,1.0
pc1,abl_full_pc1,linear,henon,1.0
pc1,abl_full_pc1,linear,ising,1.0
pc1,abl_full_pc1,linear,kuramoto,1.0
pc1,abl_full_pc1,linear,logistic,1.0
pc1,abl_full_pc1,linear,lorenz,1.0
pc1,abl_full_pc1,linear,lotka,1.0
pc1,abl_full_pc1,linear,markov,1.0
pc1,abl_full_pc1,linear,rbn,1.0
pc1,abl_no_m1_pc1,linear,branching,1.0
pc1,abl_no_m1_pc1,linear,ca,1.0
pc1,abl_no_m1_pc1,linear,gbm,1.0
pc1,abl_no_m1_pc1,linear,henon,1.0
pc1,abl_no_m1_pc1,linear,ising,1.0
pc1,abl_no_m1_pc1,linear,kuramoto,1.0
pc1,abl_no_m1_pc1,linear,logistic,1.0
pc1,abl_no_m1_pc1,linear,lorenz,1.0
pc1,abl_no_m1_pc1,linear,lotka,1.0
pc1,abl_no_m1_pc1,linear,markov,1.0
pc1,abl_no_m1_pc1,linear,rbn,1.0
pc1,abl_no_m2_pc1,linear,branching,1.0
pc1,abl_no_m2_pc1,linear,ca,1.0
pc1,abl_no_m2_pc1,linear,gbm,1.0
pc1,abl_no_m2_pc1,linear,henon,1.0
pc1,abl_no_m2_pc1,linear,ising,1.0
pc1,abl_no_m2_pc1,linear,kuramoto,1.0
pc1,abl_no_m2_pc1,linear,logistic,1.0
pc1,abl_no_m2_pc1,linear,lorenz,1.0
pc1,abl_no_m2_pc1,linear,lotka,1.0
pc1,abl_no_m2_pc1,linear,markov,1.0
pc1,abl_no_m2_pc1,linear,rbn,1.0
pc1,abl_no_m3_pc1,linear,branching,1.0
pc1,abl_no_m3_pc1,linear,ca,1.0
pc1,abl_no_m3_pc1,linear,gbm,1.0
pc1,abl_no_m3_pc1,linear,henon,1.0
pc1,abl_no_m3_pc1,linear,ising,1.0
pc1,abl_no_m3_pc1,linear,kuramoto,1.0
pc1,abl_no_m3_pc1,linear,logistic,1.0
pc1,abl_no_m3_pc1,linear,lorenz,1.0
pc1,abl_no_m3_pc1,linear,lotka,1.0
pc1,abl_no_m3_pc1,linear,markov,1.0
pc1,abl_no_m3_pc1,linear,rbn,1.0
pc1,abl_no_m4_pc1,linear,branching,1.0
pc1,abl_no_m4_pc1,linear,ca,1.0
pc1,abl_no_m4_pc1,linear,gbm,1.0
pc1,abl_no_m4_pc1,linear,henon,1.0
pc1,abl_no_m4_pc1,linear,ising,1.0
pc1,abl_no_m4_pc1,linear,kuramoto,1.0
pc1,abl_no_m4_pc1,linear,logistic,1.0
pc1,abl_no_m4_pc1,linear,lorenz,1.0
pc1,abl_no_m4_pc1,linear,lotka,1.0
pc1,abl_no_m4_pc1,linear,markov,1.0
pc1,abl_no_m4_pc1,linear,rbn,1.0
pc1,m2_contribution,linear,branching,1.0
pc1,m2_contribution,linear,ca,1.0
pc1,m2_contribution,linear,gbm,1.0
pc1,m2_contribution,linear,henon,1.0
pc1,m2_contribution,linear,ising,1.0
pc1,m2_contribution,linear,kuramoto,1.0
pc1,m2_contribution,linear,logistic,1.0
pc1,m2_contribution,linear,lorenz,1.0
pc1,m2_contribution,linear,lotka,1.0
pc1,m2_contribution,linear,markov,1.0
pc1,m2_contribution,linear,rbn,1.0
pc2,abl_full_pc1,linear,branching,1.0
pc2,abl_full_pc1,linear,ca,1.0
pc2,abl_full_pc1,linear,gbm,1.0
pc2,abl_full_pc1,linear,henon,1.0
pc2,abl_full_pc1,linear,ising,1.0
pc2,abl_full_pc1,linear,kuramoto,1.0
pc2,abl_full_pc1,linear,logistic,1.0
pc2,abl_full_pc1,linear,lorenz,1.0
pc2,abl_full_pc1,linear,lotka,1.0
pc2,abl_full_pc1,linear,markov,1.0
pc2,abl_full_pc1,linear,rbn,1.0
pc2,abl_no_m1_pc1,linear,branching,1.0
pc2,abl_no_m1_pc1,linear,ca,1.0
pc2,abl_no_m1_pc1,linear,gbm,1.0
pc2,abl_no_m1_pc1,linear,henon,1.0
pc2,abl_no_m1_pc1,linear,ising,1.0
pc2,abl_no_m1_pc1,linear,kuramoto,1.0
pc2,abl_no_m1_pc1,linear,logistic,1.0
pc2,abl_no_m1_pc1,linear,lorenz,1.0
pc2,abl_no_m1_pc1,linear,lotka,1.0
pc2,abl_no_m1_pc1,linear,markov,1.0
pc2,abl_no_m1_pc1,linear,rbn,1.0
pc2,abl_no_m2_pc1,linear,branching,1.0
pc2,abl_no_m2_pc1,linear,ca,1.0
pc2,abl_no_m2_pc1,linear,gbm,1.0
pc2,abl_no_m2_pc1,linear,henon,1.0
pc2,abl_no_m2_pc1,linear,ising,1.0
pc2,abl_no_m2_pc1,linear,kuramoto,1.0
pc2,abl_no_m2_pc1,linear,logistic,1.0
pc2,abl_no_m2_pc1,linear,lorenz,1.0
pc2,abl_no_m2_pc1,linear,lotka,1.0
pc2,abl_no_m2_pc1,linear,markov,1.0
pc2,abl_no_m2_pc1,linear,rbn,1.0
pc2,abl_no_m3_pc1,linear,branching,1.0
pc2,abl_no_m3_pc1,linear,ca,1.0
pc2,abl_no_m3_pc1,linear,gbm,1.0
pc2,abl_no_m3_pc1,linear,henon,1.0
pc2,abl_no_m3_pc1,linear,ising,1.0
pc2,abl_no_m3_pc1,linear,kuramoto,1.0
pc2,abl_no_m3_pc1,linear,logistic,1.0
pc2,abl_no_m3_pc1,linear,lorenz,1.0
pc2,abl_no_m3_pc1,linear,lotka,1.0
pc2,abl_no_m3_pc1,linear,markov,1.0
pc2,abl_no_m3_pc1,linear,rbn,1.0
pc2,abl_no_m4_pc1,linear,branching,1.0
pc2,abl_no_m4_pc1,linear,ca,1.0
pc2,abl_no_m4_pc1,linear,gbm,1.0
pc2,abl_no_m4_pc1,linear,henon,1.0
pc2,abl_no_m4_pc1,linear,ising,1.0
pc2,abl_no_m4_pc1,linear,kuramoto,1.0
pc2,abl_no_m4_pc1,linear,logistic,1.0
pc2,abl_no_m4_pc1,linear,lorenz,1.0
pc2,abl_no_m4_pc1,linear,lotka,1.0
pc2,abl_no_m4_pc1,linear,markov,1.0
pc2,abl_no_m4_pc1,linear,rbn,1.0
pc2,m2_contribution,linear,branching,1.0
pc2,m2_contribution,linear,ca,1.0
pc2,m2_contribution,linear,gbm,1.0
pc2,m2_contribution,linear,henon,1.0
pc2,m2_contribution,linear,ising,1.0
pc2,m2_contribution,linear,kuramoto,1.0
pc2,m2_contribution,linear,logistic,1.0
pc2,m2_contribution,linear,lorenz,1.0
pc2,m2_contribution,linear,lotka,1.0
pc2,m2_contribution,linear,markov,1.0
pc2,m2_contribution,linear,rbn,1.0
effective_rank,abl_full_pc1,linear,branching,1.0
effective_rank,abl_full_pc1,linear,ca,1.0
effective_rank,abl_full_pc1,linear,gbm,1.0
effective_rank,abl_full_pc1,linear,henon,1.0
effective_rank,abl_full_pc1,linear,ising,1.0
effective_rank,abl_full_pc1,linear,kuramoto,1.0
effective_rank,abl_full_pc1,linear,logistic,1.0
effective_rank,abl_full_pc1,linear,lorenz,1.0
effective_rank,abl_full_pc1,linear,lotka,1.0
effective_rank,abl_full_pc1,linear,markov,1.0
effective_rank,abl_full_pc1,linear,rbn,1.0
effective_rank,abl_no_m1_pc1,linear,branching,1.0
effective_rank,abl_no_m1_pc1,linear,ca,1.0
effective_rank,abl_no_m1_pc1,linear,gbm,1.0
effective_rank,abl_no_m1_pc1,linear,henon,1.0
effective_rank,abl_no_m1_pc1,linear,ising,1.0
effective_rank,abl_no_m1_pc1,linear,kuramoto,1.0
effective_rank,abl_no_m1_pc1,linear,logistic,1.0
effective_rank,abl_no_m1_pc1,linear,lorenz,1.0
effective_rank,abl_no_m1_pc1,linear,lotka,1.0
effective_rank,abl_no_m1_pc1,linear,markov,1.0
effective_rank,abl_no_m1_pc1,linear,rbn,1.0
effective_rank,abl_no_m2_pc1,linear,branching,1.0
effective_rank,abl_no_m2_pc1,linear,ca,1.0
effective_rank,abl_no_m2_pc1,linear,gbm,1.0
effective_rank,abl_no_m2_pc1,linear,henon,1.0
effective_rank,abl_no_m2_pc1,linear,ising,1.0
effective_rank,abl_no_m2_pc1,linear,kuramoto,1.0
effective_rank,abl_no_m2_pc1,linear,logistic,1.0
effective_rank,abl_no_m2_pc1,linear,lorenz,1.0
effective_rank,abl_no_m2_pc1,linear,lotka,1.0
effective_rank,abl_no_m2_pc1,linear,markov,1.0
effective_rank,abl_no_m2_pc1,linear,rbn,1.0
effective_rank,abl_no_m3_pc1,linear,branching,1.0
effective_rank,abl_no_m3_pc1,linear,ca,1.0
effective_rank,abl_no_m3_pc1,linear,gbm,1.0
effective_rank,abl_no_m3_pc1,linear,henon,1.0
effective_rank,abl_no_m3_pc1,linear,ising,1.0
effective_rank,abl_no_m3_pc1,linear,kuramoto,1.0
effective_rank,abl_no_m3_pc1,linear,logistic,1.0
effective_rank,abl_no_m3_pc1,linear,lorenz,1.0
effective_rank,abl_no_m3_pc1,linear,lotka,1.0
effective_rank,abl_no_m3_pc1,linear,markov,1.0
effective_rank,abl_no_m3_pc1,linear,rbn,1.0
effective_rank,abl_no_m4_pc1,linear,branching,1.0
effective_rank,abl_no_m4_pc1,linear,ca,1.0
effective_rank,abl_no_m4_pc1,linear,gbm,1.0
effective_rank,abl_no_m4_pc1,linear,henon,1.0
effective_rank,abl_no_m4_pc1,linear,ising,1.0
effective_rank,abl_no_m4_pc1,linear,kuramoto,1.0
effective_rank,abl_no_m4_pc1,linear,logistic,1.0
effective_rank,abl_no_m4_pc1,linear,lorenz,1.0
effective_rank,abl_no_m4_pc1,linear,lotka,1.0
effective_rank,abl_no_m4_pc1,linear,markov,1.0
effective_rank,abl_no_m4_pc1,linear,rbn,1.0
effective_rank,m2_contribution,linear,branching,1.0
effective_rank,m2_contribution,linear,ca,1.0
effective_rank,m2_contribution,linear,gbm,1.0
effective_rank,m2_contribution,linear,henon,1.0
effective_rank,m2_contribution,linear,ising,1.0
effective_rank,m2_contribution,linear,kuramoto,1.0
effective_rank,m2_contribution,linear,logistic,1.0
effective_rank,m2_contribution,linear,lorenz,1.0
effective_rank,m2_contribution,linear,lotka,1.0
effective_rank,m2_contribution,linear,markov,1.0
effective_rank,m2_contribution,linear,rbn,1.0
tau_m1,abl_full_pc1,linear,branching,1.0
tau_m1,abl_full_pc1,linear,ca,1.0
tau_m1,abl_full_pc1,linear,gbm,1.0
tau_m1,abl_full_pc1,linear,henon,1.0
tau_m1,abl_full_pc1,linear,ising,1.0
tau_m1,abl_full_pc1,linear,kuramoto,1.0
tau_m1,abl_full_pc1,linear,logistic,1.0
tau_m1,abl_full_pc1,linear,lorenz,1.0
tau_m1,abl_full_pc1,linear,lotka,1.0
tau_m1,abl_full_pc1,linear,markov,1.0
tau_m1,abl_full_pc1,linear,rbn,1.0
tau_m1,abl_no_m1_pc1,linear,branching,1.0
tau_m1,abl_no_m1_pc1,linear,ca,1.0
tau_m1,abl_no_m1_pc1,linear,gbm,1.0
tau_m1,abl_no_m1_pc1,linear,henon,1.0
tau_m1,abl_no_m1_pc1,linear,ising,1.0
tau_m1,abl_no_m1_pc1,linear,kuramoto,1.0
tau_m1,abl_no_m1_pc1,linear,logistic,1.0
tau_m1,abl_no_m1_pc1,linear,lorenz,1.0
tau_m1,abl_no_m1_pc1,linear,lotka,1.0
tau_m1,abl_no_m1_pc1,linear,markov,1.0
tau_m1,abl_no_m1_pc1,linear,rbn,1.0
tau_m1,abl_no_m2_pc1,linear,branching,1.0
