Rank,X,Y,Model,Pooled_R2,MeanTransfer_R2,InvarianceScore,CV_slope,Permutation_p,Bootstrap_CI_lo,Bootstrap_CI_hi,RankingScore
1,pc1,abl_full_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
2,pc1,abl_no_m1_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
3,pc1,abl_no_m2_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
4,pc1,abl_no_m3_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
5,pc1,abl_no_m4_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
6,pc1,m2_contribution,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
7,pc1,PR,log,1.0,-6.472222222222222,0.0,0.002989889414666813,1.0,-9.057464454976303,1.0,0.2997010110585333
8,pc2,abl_full_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
9,pc2,abl_no_m1_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
10,pc2,abl_no_m2_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
11,pc2,abl_no_m3_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
12,pc2,abl_no_m4_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
13,pc2,m2_contribution,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
14,effective_rank,abl_full_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
15,effective_rank,abl_no_m1_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
16,effective_rank,abl_no_m2_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
17,effective_rank,abl_no_m3_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
18,effective_rank,abl_no_m4_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
19,effective_rank,m2_contribution,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
20,tau_m1,abl_full_pc1,linear,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.65
