system_id,system,family,nearest_foreign_family,overlap_score,own_distance,foreign_distance,C,F,A,R
0,logistic_r=2.5000,logistic,lotka,0.6954309955442526,2.7377295561282944,1.9039019907492245,-0.7029187772104569,-3.004993486157486,-0.05951873021851337,2.968130330815618
1,logistic_r=2.5625,logistic,branching,0.17435628446567433,2.486680435635992,0.433568361410976,-2.91440811291651,-1.5166420790039785,-0.7014447381939887,0.3459138435471223
2,logistic_r=2.6250,logistic,branching,0.4111566760248467,2.455544311973733,1.0096134371428391,-2.7242284776851653,-2.157276122176972,-0.6770541398689934,0.0396473514013912
3,logistic_r=2.6875,logistic,lotka,0.7019245083809154,3.204643587974307,2.249417875024918,-0.5314464501576298,-3.8519944378593585,-0.09398002114650468,2.90588732947694
4,logistic_r=2.7500,logistic,lotka,0.7524293237233386,3.1441865715657777,2.3657781757032406,-0.7600760694580756,-3.7926432897302726,-0.09624114861575553,2.860778212843855
5,logistic_r=2.8125,logistic,lotka,0.7546695175016777,3.29427989961777,2.4860926223600175,-0.7832771225500612,-3.9377746906738036,-0.09890294129186482,2.9311326056718845
6,logistic_r=2.8750,logistic,lotka,0.6615565483465684,3.3827362934970595,2.2378713462925792,-0.2894348130901998,-4.0195385615408314,-0.10243610287448089,2.9902712168080314
7,logistic_r=2.9375,logistic,lotka,0.6500277304627281,4.083974586093479,2.6546967314658034,0.8489318721113007,-4.8556954228255975,-0.18653777660318116,2.703615538228972
8,logistic_r=3.0000,logistic,lotka,0.5610316789062245,3.6833613951608895,2.066482427545487,0.6369412418320218,-4.206467887891862,-0.15371287052275473,2.998664672464931
9,logistic_r=3.0625,logistic,lotka,0.5424610303380618,3.6531880610870653,1.981712159635996,0.7006560953004818,-4.098982088699968,-0.2105998935568156,3.060287352342079
10,logistic_r=3.1250,logistic,lotka,0.5523548705256753,3.9691245094999177,2.1923652545451118,0.8535106518251258,-4.2783477213039784,-0.2171718793568985,3.2921961082681346
11,logistic_r=3.1875,logistic,lotka,0.5616924089796148,4.2842423665524,2.4064264155213433,1.0639886151325724,-4.4407422130997825,-0.2152674972091672,3.5025828169763384
12,logistic_r=3.2500,logistic,lorenz,1.0970933273121863,1.798388739550351,1.9730002860740634,0.8918056716145036,-1.2420900146250322,-1.8630313622076466,0.20380603251529214
