universe_id,property,score,transition_depth
0,distinction,1.0,1.0
0,persistence,1.0,0.0
0,composition,0.0,26.0
0,closure,0.9615384615384616,1.0
0,arithmetic,0.0,0.0
0,geometry,0.0,26.0
0,dimension,0.0,0.0
1,distinction,0.1111111111111111,9.0
1,persistence,1.0,8.0
1,composition,0.16,1.0
1,closure,0.6538461538461539,9.0
1,arithmetic,0.25,6.0
1,geometry,1.0,9.0
1,dimension,0.5882623287981528,0.0
2,distinction,1.0,1.0
2,persistence,1.0,0.0
2,composition,0.0,26.0
2,closure,0.9615384615384616,1.0
2,arithmetic,0.0,0.0
2,geometry,0.0,26.0
2,dimension,0.0,0.0
3,distinction,0.3333333333333333,3.0
3,persistence,1.0,2.0
3,composition,0.08,1.0
3,closure,0.8846153846153846,3.0
3,arithmetic,0.0,0.0
3,geometry,1.0,3.0
3,dimension,0.0,0.0
4,distinction,0.2,5.0
4,persistence,1.0,4.0
4,composition,0.16,1.0
4,closure,0.8076923076923077,5.0
4,arithmetic,0.25,2.0
4,geometry,1.0,5.0
4,dimension,0.0,0.0
5,distinction,0.25,4.0
5,persistence,1.0,3.0
5,composition,0.08,1.0
5,closure,0.8461538461538461,4.0
5,arithmetic,0.5,2.0
5,geometry,1.0,4.0
5,dimension,0.0,0.0
6,distinction,0.5,2.0
6,persistence,1.0,1.0
6,composition,0.04,1.0
6,closure,0.9230769230769231,2.0
6,arithmetic,0.0,0.0
6,geometry,0.9999999999985575,2.0
6,dimension,0.0,0.0
7,distinction,0.5,2.0
7,persistence,1.0,1.0
7,composition,0.0,26.0
7,closure,0.9230769230769231,2.0
7,arithmetic,0.0,0.0
7,geometry,1.0,2.0
7,dimension,0.0,0.0
8,distinction,0.5,2.0
8,persistence,1.0,1.0
8,composition,0.0,26.0
8,closure,0.9230769230769231,2.0
8,arithmetic,0.0,0.0
8,geometry,0.9999999999985575,2.0
8,dimension,0.0,0.0
9,distinction,0.3333333333333333,3.0
9,persistence,1.0,2.0
9,composition,0.08,1.0
9,closure,0.8846153846153846,3.0
9,arithmetic,0.0,0.0
9,geometry,1.0,3.0
9,dimension,0.0,0.0
10,distinction,0.3333333333333333,3.0
10,persistence,1.0,2.0
10,composition,0.08,1.0
10,closure,0.8846153846153846,3.0
10,arithmetic,0.0,0.0
10,geometry,1.0,3.0
10,dimension,0.0,0.0
11,distinction,0.3333333333333333,3.0
11,persistence,1.0,2.0
11,composition,0.04,1.0
11,closure,0.8846153846153846,3.0
11,arithmetic,0.25,2.0
11,geometry,1.0,3.0
11,dimension,0.0,0.0
12,distinction,0.3333333333333333,3.0
12,persistence,1.0,2.0
12,composition,0.08,1.0
12,closure,0.8846153846153846,3.0
12,arithmetic,0.0,0.0
12,geometry,1.0,3.0
12,dimension,0.0,0.0
13,distinction,0.5,2.0
13,persistence,1.0,1.0
13,composition,0.0,26.0
13,closure,0.9230769230769231,2.0
13,arithmetic,0.0,0.0
13,geometry,0.9999999999985575,2.0
13,dimension,0.0,0.0
14,distinction,1.0,1.0
14,persistence,1.0,0.0
14,composition,0.0,26.0
14,closure,0.9615384615384616,1.0
14,arithmetic,0.0,0.0
14,geometry,0.0,26.0
14,dimension,0.0,0.0
15,distinction,0.5,2.0
15,persistence,1.0,1.0
15,composition,0.0,26.0
15,closure,0.9230769230769231,2.0
15,arithmetic,0.0,0.0
15,geometry,1.0,2.0
15,dimension,0.0,0.0
16,distinction,0.5,2.0
16,persistence,1.0,1.0
16,composition,0.04,1.0
16,closure,0.9230769230769231,2.0
16,arithmetic,0.0,0.0
16,geometry,0.9999999999985575,2.0
16,dimension,0.0,0.0
17,distinction,1.0,1.0
17,persistence,1.0,0.0
17,composition,0.0,26.0
17,closure,0.9615384615384616,1.0
17,arithmetic,0.0,0.0
17,geometry,0.0,26.0
17,dimension,0.0,0.0
18,distinction,0.5,2.0
18,persistence,1.0,1.0
18,composition,0.04,1.0
18,closure,0.9230769230769231,2.0
18,arithmetic,0.0,0.0
18,geometry,1.0,2.0
18,dimension,0.0,0.0
19,distinction,0.4,5.0
19,persistence,0.2,26.0
19,composition,0.04,1.0
19,closure,0.8076923076923077,5.0
19,arithmetic,0.25,2.0
19,geometry,1.0,5.0
19,dimension,0.0,0.0
20,distinction,0.3333333333333333,3.0
20,persistence,1.0,2.0
20,composition,0.04,2.0
20,closure,0.8846153846153846,3.0
20,arithmetic,0.0,0.0
20,geometry,1.0,3.0
20,dimension,0.0,0.0
21,distinction,0.5,2.0
21,persistence,1.0,1.0
21,composition,0.04,1.0
21,closure,0.9230769230769231,2.0
21,arithmetic,0.0,0.0
21,geometry,0.9999999999985575,2.0
21,dimension,0.0,0.0
22,distinction,0.5,2.0
22,persistence,1.0,1.0
22,composition,0.0,26.0
22,closure,0.9230769230769231,2.0
22,arithmetic,0.0,0.0
22,geometry,1.0,2.0
22,dimension,0.0,0.0
23,distinction,0.5,2.0
23,persistence,1.0,1.0
23,composition,0.04,1.0
23,closure,0.9230769230769231,2.0
23,arithmetic,0.0,0.0
23,geometry,0.9999999999985575,2.0
23,dimension,0.0,0.0
24,distinction,0.5,2.0
24,persistence,1.0,1.0
24,composition,0.0,26.0
24,closure,0.9230769230769231,2.0
24,arithmetic,0.0,0.0
24,geometry,1.0,2.0
24,dimension,0.0,0.0
25,distinction,1.0,1.0
25,persistence,1.0,0.0
25,composition,0.0,26.0
25,closure,0.9615384615384616,1.0
25,arithmetic,0.0,0.0
25,geometry,0.0,26.0
25,dimension,0.0,0.0
26,distinction,0.5,4.0
26,persistence,0.2,26.0
26,composition,0.0,26.0
26,closure,0.8461538461538461,4.0
26,arithmetic,0.0,0.0
26,geometry,1.0,4.0
26,dimension,0.0,0.0
27,distinction,0.5,2.0
27,persistence,1.0,1.0
27,composition,0.0,26.0
27,closure,0.9230769230769231,2.0
27,arithmetic,0.0,0.0
27,geometry,1.0,2.0
27,dimension,0.0,0.0
28,distinction,1.0,1.0
28,persistence,1.0,0.0
28,composition,0.0,26.0
28,closure,0.9615384615384616,1.0
28,arithmetic,0.0,0.0
28,geometry,0.0,26.0
28,dimension,0.0,0.0
29,distinction,0.3333333333333333,3.0
29,persistence,1.0,2.0
29,composition,0.0,26.0
29,closure,0.8846153846153846,3.0
29,arithmetic,0.25,1.0
29,geometry,1.0,3.0
29,dimension,0.0,0.0
30,distinction,0.14285714285714285,7.0
30,persistence,1.0,6.0
30,composition,0.0,26.0
30,closure,0.7307692307692307,7.0
30,arithmetic,0.25,3.0
30,geometry,1.0,7.0
30,dimension,0.5339422234370435,0.0
31,distinction,0.3333333333333333,3.0
31,persistence,1.0,2.0
31,composition,0.04,1.0
31,closure,0.8846153846153846,3.0
31,arithmetic,0.25,1.0
31,geometry,1.0,3.0
31,dimension,0.0,0.0
32,distinction,0.5,2.0
32,persistence,1.0,1.0
32,composition,0.04,1.0
32,closure,0.9230769230769231,2.0
32,arithmetic,0.0,0.0
32,geometry,1.0,2.0
32,dimension,0.0,0.0
33,distinction,1.0,1.0
33,persistence,1.0,0.0
33,composition,0.0,26.0
33,closure,0.9615384615384616,1.0
33,arithmetic,0.0,0.0
33,geometry,0.0,26.0
33,dimension,0.0,0.0
34,distinction,1.0,1.0
34,persistence,1.0,0.0
34,composition,0.0,26.0
34,closure,0.9615384615384616,1.0
34,arithmetic,0.0,0.0
34,geometry,0.0,26.0
34,dimension,0.0,0.0
35,distinction,0.3333333333333333,3.0
35,persistence,1.0,2.0
35,composition,0.04,1.0
35,closure,0.8846153846153846,3.0
35,arithmetic,0.25,2.0
35,geometry,1.0,3.0
35,dimension,0.0,0.0
36,distinction,0.3333333333333333,3.0
36,persistence,1.0,2.0
36,composition,0.04,1.0
36,closure,0.8846153846153846,3.0
36,arithmetic,0.0,0.0
36,geometry,1.0,3.0
36,dimension,0.0,0.0
37,distinction,1.0,2.0
37,persistence,0.2,26.0
37,composition,0.0,26.0
37,closure,0.9230769230769231,2.0
37,arithmetic,0.0,0.0
37,geometry,1.0,2.0
37,dimension,0.0,0.0
38,distinction,0.25,4.0
38,persistence,1.0,3.0
38,composition,0.0,26.0
38,closure,0.8461538461538461,4.0
38,arithmetic,0.25,2.0
38,geometry,1.0,4.0
38,dimension,0.0,0.0
39,distinction,0.5,2.0
39,persistence,1.0,1.0
39,composition,0.0,26.0
39,closure,0.9230769230769231,2.0
39,arithmetic,0.0,0.0
39,geometry,1.0,2.0
39,dimension,0.0,0.0
40,distinction,0.5,4.0
40,persistence,0.2,26.0
40,composition,1.0,1.0
40,closure,0.8461538461538461,4.0
40,arithmetic,0.0,0.0
40,geometry,1.0,4.0
40,dimension,0.0,0.0
41,distinction,1.0,1.0
41,persistence,1.0,0.0
41,composition,0.0,26.0
41,closure,0.9615384615384616,1.0
41,arithmetic,0.0,0.0
41,geometry,0.0,26.0
41,dimension,0.0,0.0
42,distinction,0.3333333333333333,3.0
42,persistence,1.0,2.0
42,composition,0.08,1.0
42,closure,0.8846153846153846,3.0
42,arithmetic,0.0,0.0
42,geometry,1.0,3.0
42,dimension,0.0,0.0
43,distinction,0.3333333333333333,3.0
43,persistence,1.0,2.0
43,composition,0.0,26.0
43,closure,0.8846153846153846,3.0
43,arithmetic,0.0,0.0
43,geometry,1.0,3.0
43,dimension,0.0,0.0
44,distinction,0.5,2.0
44,persistence,1.0,1.0
44,composition,0.0,26.0
44,closure,0.9230769230769231,2.0
