universe_id,n_symbols,trajectory_length,final_state_size,emergence_index,distinction_score,persistence_score,composition_score,closure_score,arithmetic_score,geometry_score,dimension_score,distinction_transition,persistence_transition,composition_transition,closure_transition,arithmetic_transition,geometry_transition,dimension_transition
0,19,26,1,0.49615384615384617,1.0,1.0,0.0,0.9615384615384616,0.0,0.0,0.0,1,0,26,1,0,26,0
1,18,26,1,0.5079330704866529,0.1111111111111111,1.0,0.16,0.6538461538461539,0.25,1.0,0.5882623287981528,9,8,1,9,6,9,0
2,20,26,1,0.49615384615384617,1.0,1.0,0.0,0.9615384615384616,0.0,0.0,0.0,1,0,26,1,0,26,0
3,9,26,3,0.46712820512820513,0.3333333333333333,1.0,0.08,0.8846153846153846,0.0,1.0,0.0,3,2,1,3,0,3,0
4,21,26,2,0.4822692307692308,0.2,1.0,0.16,0.8076923076923077,0.25,1.0,0.0,5,4,1,5,2,5,0
5,22,26,1,0.5216153846153846,0.25,1.0,0.08,0.8461538461538461,0.5,1.0,0.0,4,3,1,4,2,4,0
6,17,26,3,0.49830769230754807,0.5,1.0,0.04,0.9230769230769231,0.0,0.9999999999985575,0.0,2,1,1,2,0,2,0
7,9,26,1,0.49230769230769234,0.5,1.0,0.0,0.9230769230769231,0.0,1.0,0.0,2,1,26,2,0,2,0
8,23,26,1,0.4923076923075481,0.5,1.0,0.0,0.9230769230769231,0.0,0.9999999999985575,0.0,2,1,26,2,0,2,0
9,8,26,3,0.46712820512820513,0.3333333333333333,1.0,0.08,0.8846153846153846,0.0,1.0,0.0,3,2,1,3,0,3,0
10,11,26,2,0.46712820512820513,0.3333333333333333,1.0,0.08,0.8846153846153846,0.0,1.0,0.0,3,2,1,3,0,3,0
11,23,26,1,0.49862820512820516,0.3333333333333333,1.0,0.04,0.8846153846153846,0.25,1.0,0.0,3,2,1,3,2,3,0
12,13,26,3,0.46712820512820513,0.3333333333333333,1.0,0.08,0.8846153846153846,0.0,1.0,0.0,3,2,1,3,0,3,0
13,21,26,3,0.4923076923075481,0.5,1.0,0.0,0.9230769230769231,0.0,0.9999999999985575,0.0,2,1,26,2,0,2,0
14,19,26,1,0.49615384615384617,1.0,1.0,0.0,0.9615384615384616,0.0,0.0,0.0,1,0,26,1,0,26,0
15,19,26,1,0.49230769230769234,0.5,1.0,0.0,0.9230769230769231,0.0,1.0,0.0,2,1,26,2,0,2,0
16,19,26,2,0.49830769230754807,0.5,1.0,0.04,0.9230769230769231,0.0,0.9999999999985575,0.0,2,1,1,2,0,2,0
17,21,26,2,0.49615384615384617,1.0,1.0,0.0,0.9615384615384616,0.0,0.0,0.0,1,0,26,1,0,26,0
18,25,26,3,0.49830769230769234,0.5,1.0,0.04,0.9230769230769231,0.0,1.0,0.0,2,1,1,2,0,2,0
