universe_id,detector_id,depth,detector_name
0,1,6,D02_trajectory_convergence
0,3,5,D04_recurrence
0,4,5,D05_persistence
0,5,46,D06_invariant_transitions
0,7,5,D08_neighborhood_stability
0,12,6,D13_composition
0,14,6,D15_self_reference
0,15,8,D16_scale_invariance
0,17,8,D18_separability
0,18,10,D19_boundary_formation
0,19,5,D20_distance_structure
1,1,8,D02_trajectory_convergence
1,3,5,D04_recurrence
1,4,5,D05_persistence
1,7,5,D08_neighborhood_stability
1,12,6,D13_composition
1,14,6,D15_self_reference
1,15,8,D16_scale_invariance
1,17,8,D18_separability
1,18,10,D19_boundary_formation
1,19,5,D20_distance_structure
2,1,6,D02_trajectory_convergence
2,3,5,D04_recurrence
2,4,5,D05_persistence
2,5,20,D06_invariant_transitions
2,6,8,D07_forbidden_transitions
2,12,6,D13_composition
2,14,6,D15_self_reference
2,15,8,D16_scale_invariance
2,17,8,D18_separability
2,18,10,D19_boundary_formation
2,19,5,D20_distance_structure
3,3,5,D04_recurrence
3,4,28,D05_persistence
3,5,5,D06_invariant_transitions
3,7,5,D08_neighborhood_stability
3,10,12,D11_symmetry_breaking
3,11,5,D12_closure
3,12,6,D13_composition
3,14,6,D15_self_reference
3,15,8,D16_scale_invariance
3,17,8,D18_separability
4,1,6,D02_trajectory_convergence
4,3,5,D04_recurrence
4,4,5,D05_persistence
4,5,44,D06_invariant_transitions
4,7,5,D08_neighborhood_stability
4,12,6,D13_composition
4,14,6,D15_self_reference
4,15,8,D16_scale_invariance
4,17,8,D18_separability
4,18,10,D19_boundary_formation
4,19,5,D20_distance_structure
5,1,6,D02_trajectory_convergence
5,3,6,D04_recurrence
5,4,30,D05_persistence
5,5,44,D06_invariant_transitions
5,12,8,D13_composition
5,14,6,D15_self_reference
5,18,10,D19_boundary_formation
5,19,5,D20_distance_structure
6,1,6,D02_trajectory_convergence
6,3,5,D04_recurrence
6,4,5,D05_persistence
6,5,39,D06_invariant_transitions
6,7,5,D08_neighborhood_stability
6,8,12,D09_compression
6,12,6,D13_composition
6,13,8,D14_hierarchy
6,14,6,D15_self_reference
6,17,8,D18_separability
6,18,10,D19_boundary_formation
6,19,5,D20_distance_structure
7,1,8,D02_trajectory_convergence
7,3,5,D04_recurrence
7,4,5,D05_persistence
7,7,5,D08_neighborhood_stability
7,12,6,D13_composition
