universe_id,detector,depth
0,constraint_B1_growth_rate,8
0,constraint_B2_reachable,25
0,constraint_B3_entropy,25
0,constraint_B5_possibility_elim,17
1,constraint_B1_growth_rate,8
1,constraint_B2_reachable,25
1,constraint_B3_entropy,25
1,constraint_B4_transition_freedom,17
1,constraint_B5_possibility_elim,17
2,constraint_B1_growth_rate,8
2,constraint_B2_reachable,25
2,constraint_B3_entropy,25
2,constraint_B4_transition_freedom,17
2,constraint_B5_possibility_elim,17
3,constraint_B1_growth_rate,8
3,constraint_B2_reachable,25
3,constraint_B3_entropy,25
3,constraint_B4_transition_freedom,17
3,constraint_B5_possibility_elim,17
4,constraint_B1_growth_rate,8
4,constraint_B2_reachable,25
4,constraint_B3_entropy,25
4,constraint_B4_transition_freedom,17
4,constraint_B5_possibility_elim,17
5,constraint_B1_growth_rate,8
5,constraint_B2_reachable,25
5,constraint_B3_entropy,25
5,constraint_B4_transition_freedom,17
5,constraint_B5_possibility_elim,17
6,constraint_B1_growth_rate,8
6,constraint_B2_reachable,25
6,constraint_B3_entropy,25
6,constraint_B4_transition_freedom,17
6,constraint_B5_possibility_elim,17
7,constraint_B1_growth_rate,8
7,constraint_B2_reachable,25
7,constraint_B3_entropy,25
7,constraint_B4_transition_freedom,17
7,constraint_B5_possibility_elim,17
8,constraint_B1_growth_rate,8
8,constraint_B2_reachable,25
8,constraint_B3_entropy,25
8,constraint_B4_transition_freedom,17
8,constraint_B5_possibility_elim,17
9,constraint_B1_growth_rate,8
9,constraint_B2_reachable,25
9,constraint_B3_entropy,25
9,constraint_B4_transition_freedom,17
9,constraint_B5_possibility_elim,17
10,constraint_B1_growth_rate,8
10,constraint_B2_reachable,25
10,constraint_B3_entropy,25
10,constraint_B4_transition_freedom,17
10,constraint_B5_possibility_elim,17
11,constraint_B1_growth_rate,8
11,constraint_B2_reachable,25
11,constraint_B3_entropy,25
11,constraint_B4_transition_freedom,17
11,constraint_B5_possibility_elim,17
12,constraint_B1_growth_rate,8
12,constraint_B2_reachable,25
12,constraint_B3_entropy,25
12,constraint_B4_transition_freedom,17
12,constraint_B5_possibility_elim,17
12,constraint_B10_elimination_rate,17
13,constraint_B1_growth_rate,8
13,constraint_B2_reachable,25
13,constraint_B3_entropy,25
13,constraint_B4_transition_freedom,17
13,constraint_B5_possibility_elim,17
14,constraint_B1_growth_rate,8
14,constraint_B2_reachable,25
14,constraint_B3_entropy,25
14,constraint_B4_transition_freedom,17
14,constraint_B5_possibility_elim,17
15,constraint_B1_growth_rate,8
15,constraint_B2_reachable,25
15,constraint_B3_entropy,25
15,constraint_B4_transition_freedom,17
15,constraint_B5_possibility_elim,17
16,constraint_B1_growth_rate,8
16,constraint_B2_reachable,25
16,constraint_B3_entropy,25
16,constraint_B4_transition_freedom,17
16,constraint_B5_possibility_elim,17
17,constraint_B1_growth_rate,8
17,constraint_B2_reachable,25
17,constraint_B3_entropy,25
17,constraint_B4_transition_freedom,17
17,constraint_B5_possibility_elim,17
18,constraint_B1_growth_rate,8
18,constraint_B2_reachable,25
18,constraint_B3_entropy,25
18,constraint_B4_transition_freedom,17
18,constraint_B5_possibility_elim,17
19,constraint_B1_growth_rate,8
19,constraint_B2_reachable,25
19,constraint_B3_entropy,25
19,constraint_B4_transition_freedom,17
19,constraint_B5_possibility_elim,17
20,constraint_B1_growth_rate,8
20,constraint_B2_reachable,25
20,constraint_B3_entropy,25
20,constraint_B4_transition_freedom,17
20,constraint_B5_possibility_elim,17
21,constraint_B1_growth_rate,8
21,constraint_B2_reachable,25
21,constraint_B3_entropy,25
21,constraint_B4_transition_freedom,17
