detector_id,n_prerequisites,n_imported_concepts,earliest_imported_primitive,contamination_depth
T037_distinction_clustering,4,30,operation,0
T037_persistence,3,19,operation,0
T037_composition,3,13,distinction,0
T037_geometry,3,23,operation,0
T037_dimension,3,20,operation,0
T041_persistence,3,29,operation,0
T041_separability,3,29,operation,0
T041_stability,2,25,operation,0
T042_bundling,2,25,operation,0
T042_constraint_formation,3,20,operation,0
T042_neighborhood,3,25,operation,0
T043_possibility_reduction,3,18,operation,0
T043_trajectory_convergence,3,25,operation,0
T043_trajectory_divergence,2,25,operation,0
T043_recurrence,2,25,operation,0
T043_invariant_transitions,2,18,operation,0
T043_forbidden_transitions,3,22,operation,0
T043_neighborhood_stability,3,25,operation,0
T043_compression,3,20,operation,0
T043_symmetry,3,25,operation,0
T043_closure,2,25,operation,0
T043_composition,3,26,operation,0
T043_hierarchy,3,25,operation,0
T043_self_reference,2,25,operation,0
T043_scale_invariance,3,18,operation,0
T043_repeatability,2,18,operation,0
T043_separability,3,29,operation,0
T043_boundary_formation,3,29,operation,0
T043_distance_structure,3,30,operation,0
T044_exact_revisit,3,26,operation,0
T044_epsilon_revisit,2,25,operation,0
T044_topological_recurrence,3,25,operation,0
T044_nn_recurrence,3,25,operation,0
T044_rqa_recurrence,3,25,operation,0
T045_pairwise_contraction,3,25,operation,0
T045_basin_attraction,3,25,operation,0
T045_entropy_collapse,3,23,operation,0
T045_trajectory_clustering,3,29,operation,0
T045_lyapunov_contraction,3,27,operation,0
T046_state_growth_rate,2,18,operation,0
T046_reachable_state_growth,3,22,operation,0
T046_entropy_growth,3,23,operation,0
T046_transition_freedom,2,18,operation,0
T046_possibility_elimination,3,25,operation,0
T046_constraint_persistence,3,18,operation,0
