from,to
distance,comparison
distance,subtraction
distance,norm
comparison,ordering
comparison,inequality
arithmetic,addition
arithmetic,multiplication
arithmetic,division
ordering,before/after
ordering,less/greater
grouping,membership
grouping,distinction
equality,identity
equality,comparison
membership,set
membership,element
entropy,probability
entropy,logarithm
entropy,arithmetic
probability,counting
probability,sample_space
logarithm,exponentiation
logarithm,arithmetic
norm,distance
norm,arithmetic
subtraction,addition
subtraction,negation
addition,successor
addition,counting
multiplication,addition
multiplication,counting
division,multiplication
division,inverse
inequality,ordering
inequality,comparison
before/after,temporal_order
before/after,sequence
less/greater,ordering
less/greater,comparison
counting,distinction
counting,identity
set,membership
set,distinction
element,identity
element,existence
successor,ordering
successor,existence
negation,truth_value
negation,logic
inverse,identity
inverse,operation
truth_value,distinction
truth_value,logic
logic,distinction
logic,relation
temporal_order,sequence
temporal_order,distinction
sequence,ordering
sequence,distinction
linearity,arithmetic
linearity,vector_space
vector_space,arithmetic
vector_space,addition
