from,to
quantification,counting
quantification,comparison
comparison,ordering
comparison,inequality
comparison,distinction
counting,identity
counting,distinction
counting,succession
identity,self
identity,reflexivity
self,existence
self,reference
reference,pointer
reference,distinction
symbol,representation
symbol,distinction
representation,mapping
representation,domain
representation,codomain
mapping,function
mapping,input_output
function,mapping
function,uniqueness
relation,pair
relation,distinction
pair,two
pair,distinction
two,counting
two,distinction
distinction,nonidentity
distinction,existence
nonidentity,negation
nonidentity,identity
negation,proposition
negation,truth_value
proposition,statement
proposition,meaning
statement,expression
statement,reference
expression,symbol
expression,combination
combination,parts
combination,relation
parts,distinction
parts,whole
whole,unity
whole,relation
unity,oneness
unity,distinction_from_many
oneness,counting
oneness,identity
existence,being
existence,distinction_from_nothing
being,presence
being,distinction_from_absence
presence,here
presence,now
presence,distinction
here,location
here,distinction
now,time
now,distinction
location,space
location,distinction
space,extension
space,distinction
extension,continuity
extension,distinction
continuity,between
continuity,distinction
between,boundary
between,distinction
boundary,separation
boundary,distinction
separation,apart
separation,distinction
apart,distance
apart,distinction
distance,metric
distance,comparison
metric,norm
metric,comparison
norm,magnitude
norm,comparison
magnitude,size
magnitude,comparison
size,measure
size,comparison
measure,quantification
measure,comparison
ordering,before_after
ordering,comparison
before_after,temporal
before_after,distinction
temporal,sequence
temporal,distinction
sequence,order
sequence,distinction
order,arrangement
order,distinction
arrangement,position
arrangement,distinction
position,location
position,distinction
inequality,ordering
inequality,distinction
universality,all
universality,quantification
exclusion,not
exclusion,distinction
not,negation
not,proposition
truth_value,true
truth_value,false
truth_value,distinction
true,correspondence
true,distinction
false,non_correspondence
false,distinction
correspondence,matching
correspondence,comparison
non_correspondence,mismatch
non_correspondence,comparison
matching,sameness
matching,comparison
mismatch,difference
mismatch,comparison
sameness,equality
sameness,identity
equality,identity
equality,comparison
difference,inequality
difference,distinction
category,class
category,membership
class,group
class,distinction
set,elements
set,membership
elements,members
elements,distinction
members,parts
members,distinction
membership,belonging
membership,distinction
belonging,inclusion
belonging,distinction
inclusion,containment
inclusion,distinction
containment,boundary
containment,distinction
concept,idea
concept,representation
idea,thought
idea,representation
thought,process
thought,representation
process,change
process,time
change,difference
change,time
time,sequence
time,distinction
state,condition
state,distinction
condition,situation
condition,distinction
situation,context
situation,distinction
context,frame
context,distinction
frame,structure
frame,distinction
structure,parts
structure,relation
persistence,continuation
persistence,time
persistence,identity
continuation,extension
continuation,time
property,attribute
property,distinction
attribute,quality
attribute,distinction
quality,characteristic
quality,distinction
characteristic,feature
characteristic,distinction
feature,aspect
feature,distinction
aspect,facet
aspect,distinction
facet,side
facet,distinction
side,part
side,distinction
group,collection
group,distinction
collection,set
collection,distinction
modifier,qualifier
modifier,distinction
qualifier,specifier
qualifier,distinction
specifier,indicator
specifier,distinction
indicator,sign
indicator,distinction
sign,mark
sign,distinction
mark,symbol
mark,distinction
pointer,indicator
pointer,distinction
source_target,origin
source_target,destination
source_target,distinction
origin,source
origin,distinction
destination,target
destination,distinction
target,goal
target,distinction
goal,end
goal,distinction
end,boundary
end,distinction
succession,next
succession,time
succession,distinction
next,after
next,time
next,distinction
after,temporal
after,distinction
uniqueness,one
uniqueness,distinction
one,singularity
one,distinction
singularity,unity
singularity,distinction
input_output,input
input_output,output
input_output,distinction
input,received
input,distinction
output,produced
output,distinction
received,incoming
received,distinction
produced,outgoing
produced,distinction
incoming,direction
incoming,distinction
outgoing,direction
outgoing,distinction
direction,orientation
direction,distinction
orientation,alignment
orientation,distinction
alignment,arrangement
alignment,distinction
