analysis_type,modification,generative,n_survivors,survivors,interpretation
edge_removal,Remove SR1→IS1,False,3,CD1;OC1;OC2,
edge_removal,Remove SR1→IS2,False,3,CD1;OC1;OC2,
edge_removal,Remove IS1→IS2,True,9,CD1;CD2;EC1;IC1;IS1;IS2;OC1;OC2;SR1,Fixes cycle by removing mutual dependency
edge_removal,Remove IS1→OC2,False,3,CD1;OC1;OC2,
edge_removal,Remove IS2→IC1,False,3,CD1;OC1;OC2,
edge_removal,Remove IS2→IS1,False,3,CD1;OC1;OC2,
edge_removal,Remove IS2→OC1,False,3,CD1;OC1;OC2,
edge_removal,Remove OC1→OC2,False,3,CD1;OC1;OC2,
edge_removal,Remove EC1→IS1,False,3,CD1;OC1;OC2,
edge_removal,Remove EC1→IS2,False,3,CD1;OC1;OC2,
edge_removal,Remove EC1→SR1,False,3,CD1;OC1;OC2,
edge_removal,Remove IC1→IS1,False,4,CD1;IC1;OC1;OC2,
edge_removal,Remove IC1→OC1,False,3,CD1;OC1;OC2,
edge_removal,Remove IC1→OC2,False,3,CD1;OC1;OC2,
edge_removal,Remove CD1→OC1,False,3,CD1;OC1;OC2,
edge_removal,Remove CD1→OC2,False,3,CD1;OC1;OC2,
edge_removal,Remove CD2→CD1,False,3,CD1;OC1;OC2,
edge_removal,Remove CD2→EC1,False,3,CD1;OC1;OC2,
edge_removal,Remove CD2→IS1,False,3,CD1;OC1;OC2,
node_addition,Add INV→IC1,False,3,CD1;OC1;OC2,
node_addition,Add INV→IS1,False,3,CD1;OC1;OC2,
node_addition,Add INV→IS2,False,3,CD1;OC1;OC2,
node_addition,Add OUT→IC1,False,3,CD1;OC1;OC2,
node_addition,Add OUT→IS1,False,3,CD1;OC1;OC2,
node_addition,Add OUT→IS2,False,3,CD1;OC1;OC2,
node_addition,Add INFO→IC1,False,3,CD1;OC1;OC2,
node_addition,Add INFO→IS1,False,3,CD1;OC1;OC2,
node_addition,Add INFO→IS2,False,3,CD1;OC1;OC2,
node_addition,Add PHASE→IC1,False,3,CD1;OC1;OC2,
node_addition,Add PHASE→IS1,False,3,CD1;OC1;OC2,
node_addition,Add PHASE→IS2,False,3,CD1;OC1;OC2,
node_addition,Add ACT→IC1,False,3,CD1;OC1;OC2,
node_addition,Add ACT→IS1,False,3,CD1;OC1;OC2,
node_addition,Add ACT→IS2,False,3,CD1;OC1;OC2,
node_addition,Add STATE→IC1,False,3,CD1;OC1;OC2,
node_addition,Add STATE→IS1,False,3,CD1;OC1;OC2,
node_addition,Add STATE→IS2,False,3,CD1;OC1;OC2,
node_addition,Add OP→IC1,False,3,CD1;OC1;OC2,
node_addition,Add OP→IS1,False,3,CD1;OC1;OC2,
node_addition,Add OP→IS2,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IC1→OC1 with IC1→NEW,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IC1→OC2 with IC1→NEW,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IC1→IS1 with IC1→NEW,False,4,CD1;IC1;OC1;OC2,
dependency_replacement,Replace IS1→IS2 with IS1→NEW,True,9,CD1;CD2;EC1;IC1;IS1;IS2;OC1;OC2;SR1,Fixes cycle by replacing edge with root
dependency_replacement,Replace IS1→OC2 with IS1→NEW,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IS2→IC1 with IS2→NEW,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IS2→OC1 with IS2→NEW,False,3,CD1;OC1;OC2,
dependency_replacement,Replace IS2→IS1 with IS2→NEW,False,3,CD1;OC1;OC2,
