domain,n_viable,n_nonviable,axis,min_viable,max_viable,mean_viable,mean_nonviable,range
A — Physical universes,2,4,C,0.75,0.85,0.8,0.62,0.1
A — Physical universes,2,4,P,0.85,0.85,0.85,0.65,0.0
A — Physical universes,2,4,G,0.8,0.9,0.85,0.27,0.1
A — Physical universes,2,4,R,0.6,0.7,0.65,0.09,0.1
A — Physical universes,2,4,S,0.65,0.8,0.73,0.09,0.15
B — Mathematical systems,5,2,C,0.8,1.0,0.86,0.08,0.2
B — Mathematical systems,5,2,P,0.85,0.95,0.9,0.12,0.1
B — Mathematical systems,5,2,G,0.4,0.9,0.75,0.77,0.5
B — Mathematical systems,5,2,R,0.65,0.9,0.74,0.03,0.25
B — Mathematical systems,5,2,S,0.1,0.85,0.59,0.12,0.75
C — Recursive substrate,1,6,C,0.95,0.95,0.95,0.33,0.0
C — Recursive substrate,1,6,P,0.85,0.85,0.85,0.26,0.0
C — Recursive substrate,1,6,G,0.85,0.85,0.85,0.23,0.0
C — Recursive substrate,1,6,R,0.8,0.8,0.8,0.15,0.0
C — Recursive substrate,1,6,S,0.9,0.9,0.9,0.18,0.0
D — Dynamical manifolds,4,4,C,0.75,0.85,0.81,0.45,0.1
D — Dynamical manifolds,4,4,P,0.65,0.85,0.79,0.53,0.2
D — Dynamical manifolds,4,4,G,0.6,0.8,0.68,0.24,0.2
D — Dynamical manifolds,4,4,R,0.3,0.75,0.59,0.18,0.45
D — Dynamical manifolds,4,4,S,0.15,0.4,0.3,0.06,0.25
