domain,category,n,SR,NP,RC,RD,OE
A — Physical universes,fertile,3,0.88,0.85,0.9,0.8,0.82
A — Physical universes,nonviable,5,0.2,0.16,0.14,0.07,0.05
B — Mathematical systems,fertile,4,0.81,0.82,0.8,0.76,0.85
B — Mathematical systems,merely_viable,3,0.18,0.18,0.12,0.05,0.18
B — Mathematical systems,nonviable,1,0.9,0.95,0.8,0.6,0.9
C — Recursive substrate,fertile,2,0.77,0.75,0.75,0.7,0.68
C — Recursive substrate,merely_viable,2,0.55,0.53,0.47,0.45,0.45
C — Recursive substrate,nonviable,2,0.23,0.17,0.15,0.2,0.15
D — Dynamical manifolds,fertile,3,0.83,0.77,0.82,0.5,0.73
D — Dynamical manifolds,merely_viable,3,0.4,0.33,0.23,0.18,0.22
D — Dynamical manifolds,nonviable,2,0.05,0.1,0.03,0.0,0.05
