domain,axis,fertile_min,fertile_max,range
A — Physical universes,C,0.75,0.85,0.1
A — Physical universes,P,0.8,0.85,0.05
A — Physical universes,G,0.8,0.95,0.15
A — Physical universes,R,0.55,0.7,0.15
A — Physical universes,S,0.65,0.9,0.25
A — Physical universes,SR,0.8,0.95,0.15
A — Physical universes,NP,0.75,0.95,0.2
A — Physical universes,RC,0.85,0.95,0.1
A — Physical universes,RD,0.7,0.9,0.2
A — Physical universes,OE,0.7,0.95,0.25
B — Mathematical systems,C,0.8,0.85,0.05
B — Mathematical systems,P,0.85,0.9,0.05
B — Mathematical systems,G,0.8,0.9,0.1
B — Mathematical systems,R,0.65,0.75,0.1
B — Mathematical systems,S,0.5,0.85,0.35
B — Mathematical systems,SR,0.7,0.9,0.2
B — Mathematical systems,NP,0.75,0.9,0.15
B — Mathematical systems,RC,0.6,0.9,0.3
B — Mathematical systems,RD,0.4,0.95,0.55
B — Mathematical systems,OE,0.8,0.9,0.1
C — Recursive substrate,C,0.85,0.95,0.1
C — Recursive substrate,P,0.8,0.85,0.05
C — Recursive substrate,G,0.75,0.85,0.1
C — Recursive substrate,R,0.7,0.8,0.1
C — Recursive substrate,S,0.6,0.9,0.3
C — Recursive substrate,SR,0.7,0.85,0.15
C — Recursive substrate,NP,0.7,0.8,0.1
C — Recursive substrate,RC,0.7,0.8,0.1
C — Recursive substrate,RD,0.55,0.85,0.3
C — Recursive substrate,OE,0.6,0.75,0.15
D — Dynamical manifolds,C,0.8,0.85,0.05
D — Dynamical manifolds,P,0.8,0.85,0.05
D — Dynamical manifolds,G,0.8,0.9,0.1
D — Dynamical manifolds,R,0.5,0.75,0.25
D — Dynamical manifolds,S,0.35,0.6,0.25
D — Dynamical manifolds,SR,0.8,0.9,0.1
D — Dynamical manifolds,NP,0.7,0.85,0.15
D — Dynamical manifolds,RC,0.75,0.9,0.15
D — Dynamical manifolds,RD,0.3,0.7,0.4
D — Dynamical manifolds,OE,0.6,0.9,0.3
