axis,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
C,0.0621,0.4929,0.0742,-0.2524,0.6588,0.4328,0.2188,0.1161,-0.0144,0.0322
P,0.0994,0.5644,0.1834,0.7347,0.0385,-0.2836,-0.0807,0.0062,0.0584,0.0794
G,0.3478,-0.078,-0.361,-0.079,0.3059,-0.6147,0.2843,0.2196,-0.3421,-0.1372
R,0.1856,0.6051,-0.402,-0.3756,-0.5253,-0.0017,-0.1374,0.0283,0.0118,-0.0317
S,0.3384,0.084,0.6087,-0.3681,-0.0109,-0.299,-0.0111,-0.5294,-0.0468,-0.0178
SR,0.3708,-0.1224,-0.1735,-0.0028,0.2314,-0.0493,-0.273,-0.0093,0.772,-0.3012
NP,0.3696,-0.1408,-0.2117,0.043,0.0314,0.0784,0.0389,-0.1433,0.1,0.8705
RC,0.397,-0.1078,-0.0335,0.1372,0.1084,0.31,-0.6464,-0.0106,-0.5134,-0.1467
RD,0.3658,-0.0841,0.4597,-0.058,-0.2706,0.0847,0.1158,0.7364,0.0721,0.0556
OE,0.3882,-0.0756,-0.1053,0.2995,-0.2353,0.3913,0.5818,-0.3068,-0.0465,-0.3154
