subpopulation,n,OC2,OC1,CD1,IS2
High determinism (>=0.8),96,99.0,96.9,100.0,100.0
Low determinism (<=0.4),96,100.0,97.9,100.0,100.0
High connectivity (>=0.7),120,98.3,97.5,100.0,100.0
Low connectivity (<=0.5),120,100.0,98.3,100.0,100.0
High SM (>=2),120,100.0,96.7,100.0,100.0
Low SM (<=1),120,98.3,99.2,100.0,100.0
High SM influence (>=0.6),80,98.8,98.8,100.0,100.0
High novelty (>=0.3),111,99.1,95.5,100.0,100.0
Low novelty (<=0.2),129,99.2,100.0,100.0,100.0
High boundary (>=0.7),127,98.4,100.0,100.0,100.0
Low boundary (<=0.5),113,100.0,95.6,100.0,100.0
MC2+MC3+MC4 >= 0.5,22,100.0,95.5,100.0,100.0
MC2+MC3+MC4 < 0.5,218,99.1,98.2,100.0,100.0
SP >= 0.5,49,100.0,100.0,100.0,100.0
SP < 0.5,191,99.0,97.4,100.0,100.0
Viable,22,100.0,100.0,100.0,100.0
Not viable,218,99.1,97.7,100.0,100.0
Not fertile,240,99.2,97.9,100.0,100.0
