system_a,system_b,tau_alignment,category_a,category_b
fibonacci,primes,0.9701515410370116,arithmetic,arithmetic
modular_arithmetic,primes,0.9604462309124937,arithmetic,arithmetic
modular_arithmetic,fibonacci,0.9915598845672922,arithmetic,arithmetic
additive_recurrence,primes,0.5650440557858353,arithmetic,arithmetic
additive_recurrence,fibonacci,0.6178552049676096,arithmetic,arithmetic
additive_recurrence,modular_arithmetic,0.6159866654758994,arithmetic,arithmetic
lorenz,primes,0.8324455156237125,dynamical,arithmetic
lorenz,fibonacci,0.8726185134980159,dynamical,arithmetic
lorenz,modular_arithmetic,0.8700657517276894,dynamical,arithmetic
lorenz,additive_recurrence,0.17407503006729758,dynamical,arithmetic
logistic_map,primes,0.6057757569103728,dynamical,arithmetic
logistic_map,fibonacci,0.6482636646910086,dynamical,arithmetic
logistic_map,modular_arithmetic,0.6468709629665389,dynamical,arithmetic
logistic_map,additive_recurrence,0.9982676234769359,dynamical,arithmetic
logistic_map,lorenz,0.2070081217823666,dynamical,dynamical
henon_map,primes,0.6058585004614869,dynamical,arithmetic
henon_map,fibonacci,0.6461691004594505,dynamical,arithmetic
henon_map,modular_arithmetic,0.6427253367703513,dynamical,arithmetic
henon_map,additive_recurrence,0.9979428070531005,dynamical,arithmetic
henon_map,lorenz,0.20257369127062314,dynamical,dynamical
henon_map,logistic_map,0.9998335909048679,dynamical,dynamical
ising_magnetization,primes,0.5866345289379645,dynamical,arithmetic
ising_magnetization,fibonacci,0.6516396127158289,dynamical,arithmetic
ising_magnetization,modular_arithmetic,0.6394047029275919,dynamical,arithmetic
ising_magnetization,additive_recurrence,0.9943260745751301,dynamical,arithmetic
ising_magnetization,lorenz,0.22323911673411573,dynamical,dynamical
ising_magnetization,logistic_map,0.9915975114462815,dynamical,dynamical
ising_magnetization,henon_map,0.9919131262167638,dynamical,dynamical
reaction_diffusion,primes,0.7085451366108856,dynamical,arithmetic
reaction_diffusion,fibonacci,0.6609865600197151,dynamical,arithmetic
reaction_diffusion,modular_arithmetic,0.7117480006648713,dynamical,arithmetic
reaction_diffusion,additive_recurrence,0.035163857862326384,dynamical,arithmetic
reaction_diffusion,lorenz,0.8342421379011278,dynamical,dynamical
reaction_diffusion,logistic_map,0.011066276752755667,dynamical,dynamical
reaction_diffusion,henon_map,0.0033996536512074654,dynamical,dynamical
reaction_diffusion,ising_magnetization,0.03975046964984387,dynamical,dynamical
cfg_expansion,primes,0.9999087447249866,symbolic,arithmetic
cfg_expansion,fibonacci,0.9714021275381833,symbolic,arithmetic
cfg_expansion,modular_arithmetic,0.9628044581393284,symbolic,arithmetic
cfg_expansion,additive_recurrence,0.5737340538133112,symbolic,arithmetic
cfg_expansion,lorenz,0.829761265023441,symbolic,dynamical
cfg_expansion,logistic_map,0.6141556740239208,symbolic,dynamical
cfg_expansion,henon_map,0.6140878884097347,symbolic,dynamical
cfg_expansion,ising_magnetization,0.5945748928864435,symbolic,dynamical
cfg_expansion,reaction_diffusion,0.7068047996144917,symbolic,dynamical
lambda_reduction,primes,0.999948908791892,symbolic,arithmetic
lambda_reduction,fibonacci,0.9709952389033476,symbolic,arithmetic
lambda_reduction,modular_arithmetic,0.9616749515171679,symbolic,arithmetic
lambda_reduction,additive_recurrence,0.5730632092023963,symbolic,arithmetic
lambda_reduction,lorenz,0.829149940130695,symbolic,dynamical
lambda_reduction,logistic_map,0.6135133682957908,symbolic,dynamical
lambda_reduction,henon_map,0.6135476789090633,symbolic,dynamical
lambda_reduction,ising_magnetization,0.5942527912905774,symbolic,dynamical
lambda_reduction,reaction_diffusion,0.7045996519287605,symbolic,dynamical
lambda_reduction,cfg_expansion,0.9999830707353652,symbolic,symbolic
rewrite_system,primes,0.9700241987210811,symbolic,arithmetic
rewrite_system,fibonacci,0.9999962756113598,symbolic,arithmetic
rewrite_system,modular_arithmetic,0.9918134057318182,symbolic,arithmetic
rewrite_system,additive_recurrence,0.6165493032586743,symbolic,arithmetic
rewrite_system,lorenz,0.8735964323669633,symbolic,dynamical
rewrite_system,logistic_map,0.6469828505239676,symbolic,dynamical
rewrite_system,henon_map,0.6448474231329208,symbolic,dynamical
rewrite_system,ising_magnetization,0.6502746583585246,symbolic,dynamical
rewrite_system,reaction_diffusion,0.6626979413615655,symbolic,dynamical
rewrite_system,cfg_expansion,0.9712774158164963,symbolic,symbolic
rewrite_system,lambda_reduction,0.9708589285309068,symbolic,symbolic
iid_gaussian,primes,0.5890052119248819,random_control,arithmetic
iid_gaussian,fibonacci,0.6547066917208858,random_control,arithmetic
iid_gaussian,modular_arithmetic,0.662535215300106,random_control,arithmetic
iid_gaussian,additive_recurrence,0.9941932194772585,random_control,arithmetic
iid_gaussian,lorenz,0.23471645913390732,random_control,dynamical
iid_gaussian,logistic_map,0.9927916943465962,random_control,dynamical
iid_gaussian,henon_map,0.9906458569151769,random_control,dynamical
iid_gaussian,ising_magnetization,0.9879542277806382,random_control,dynamical
iid_gaussian,reaction_diffusion,0.03477953906995242,random_control,dynamical
iid_gaussian,cfg_expansion,0.5981987161847863,random_control,symbolic
iid_gaussian,lambda_reduction,0.597015769171798,random_control,symbolic
iid_gaussian,rewrite_system,0.6536596549985297,random_control,symbolic
colored_noise,primes,0.6125149194569024,random_control,arithmetic
colored_noise,fibonacci,0.6708909394672896,random_control,arithmetic
