,primes,fibonacci,modular_arithmetic,additive_recurrence,lorenz,logistic_map,henon_map,ising_magnetization,reaction_diffusion,cfg_expansion,lambda_reduction,rewrite_system,iid_gaussian,colored_noise
primes,0.0,5.142415774182679,5.11092674500309,7.353326293761263,7.249813086644539,5.571887536485129,5.07142645958319,6.492993081423583,8.172485995474283,0.2648454183061339,4.795672380125608,5.149834617616327,5.923343433886185,7.402567258713357
fibonacci,5.142415774182679,0.0,1.0923100233477756,4.919896662031688,7.01438591619761,6.719520841895801,6.782649873113827,6.782540316530588,5.944728338254194,5.138479381973515,1.8889132925972358,0.06370677929944155,7.101537938480775,4.948900626139979
modular_arithmetic,5.11092674500309,1.0923100233477756,0.0,5.1735535656264195,7.3171609403753415,6.904273508156019,6.830210645805633,7.125634499178495,5.815558781707536,5.107559197886701,1.8067304140750302,1.1096875717817172,7.187509113785763,5.201234698383725
additive_recurrence,7.353326293761263,4.919896662031688,5.1735535656264195,0.0,7.664883125848089,4.668168721122306,5.1727690850470704,4.836351499616377,7.092827085248976,7.284029194149147,5.516108524277898,4.904848222069955,5.010511741292568,0.8507890153431376
lorenz,7.249813086644539,7.01438591619761,7.3171609403753415,7.664883125848089,0.0,7.813953505002646,8.32553458633707,5.344974908040041,5.869036150695775,7.181332484659923,7.793998208731527,6.999923519013389,8.474880569055786,7.2539471421650905
logistic_map,5.571887536485129,6.719520841895801,6.904273508156019,4.668168721122306,7.813953505002646,0.0,1.6477696856791173,4.287419921599172,8.609081889243823,5.504203492593429,7.065690443723244,6.705337905078856,1.0658393502802446,4.75583947493769
henon_map,5.07142645958319,6.782649873113827,6.830210645805633,5.1727690850470704,8.32553458633707,1.6477696856791173,0.0,4.825712529987042,9.073426833899319,5.010380720826696,6.900631637495745,6.78142425870832,1.710734413331017,5.402218685208701
ising_magnetization,6.492993081423583,6.782540316530588,7.125634499178495,4.836351499616377,5.344974908040041,4.287419921599172,4.825712529987042,0.0,8.105887438862647,6.389485406080222,7.415255198243894,6.772164953402971,5.02593943407345,4.700028651720327
reaction_diffusion,8.172485995474283,5.944728338254194,5.815558781707536,7.092827085248976,5.869036150695775,8.609081889243823,9.073426833899319,8.105887438862647,0.0,8.10608904421118,6.5947537456235805,5.92942959331985,8.984713338479965,6.7276893909956925
cfg_expansion,0.2648454183061339,5.138479381973515,5.107559197886701,7.284029194149147,7.181332484659923,5.504203492593429,5.010380720826696,6.389485406080222,8.10608904421118,0.0,4.778738388689342,5.1462516794553,5.866871299415809,7.321723084322436
lambda_reduction,4.795672380125608,1.8889132925972358,1.8067304140750302,5.516108524277898,7.793998208731527,7.065690443723244,6.900631637495745,7.415255198243894,6.5947537456235805,4.778738388689342,0.0,1.9098966075550423,7.419969258368448,5.5747977709537775
rewrite_system,5.149834617616327,0.06370677929944155,1.1096875717817172,4.904848222069955,6.999923519013389,6.705337905078856,6.78142425870832,6.772164953402971,5.92942959331985,5.1462516794553,1.9098966075550423,0.0,7.086585702315484,4.928539335095168
iid_gaussian,5.923343433886185,7.101537938480775,7.187509113785763,5.010511741292568,8.474880569055786,1.0658393502802446,1.710734413331017,5.02593943407345,8.984713338479965,5.866871299415809,7.419969258368448,7.086585702315484,0.0,5.126701445218053
colored_noise,7.402567258713357,4.948900626139979,5.201234698383725,0.8507890153431376,7.2539471421650905,4.75583947493769,5.402218685208701,4.700028651720327,6.7276893909956925,7.321723084322436,5.5747977709537775,4.928539335095168,5.126701445218053,0.0
