A,B,closest,mse
identity,identity,identity,0.0
identity,reverse,reverse,0.0
identity,replay,replay,0.0
identity,swap_halves,swap_halves,0.0
identity,stitch,stitch,0.0
identity,noise,identity,0.009975437134899628
reverse,identity,reverse,0.0
reverse,reverse,identity,0.0
reverse,replay,reverse,0.8114272619493865
reverse,swap_halves,stitch,1.1189302751541286
reverse,stitch,swap_halves,0.765586071194267
reverse,noise,reverse,0.01065500024257296
replay,identity,replay,0.0
replay,reverse,reverse,0.8114272619493865
replay,replay,replay,0.0
replay,swap_halves,replay,0.0
replay,stitch,stitch,0.8114272619493865
replay,noise,replay,0.008593999628220154
swap_halves,identity,swap_halves,0.0
swap_halves,reverse,stitch,1.1189302751541286
swap_halves,replay,identity,0.8114272619493865
swap_halves,swap_halves,identity,0.0
swap_halves,stitch,reverse,0.765586071194267
swap_halves,noise,swap_halves,0.009895981136127224
stitch,identity,stitch,0.0
stitch,reverse,reverse,0.765586071194267
stitch,replay,replay,0.0
stitch,swap_halves,swap_halves,0.765586071194267
stitch,stitch,identity,0.0
stitch,noise,stitch,0.00981335317911071
noise,identity,identity,0.010343710729707623
noise,reverse,reverse,0.010488589755870399
noise,replay,replay,0.009024034692859229
noise,swap_halves,swap_halves,0.00935707151173783
noise,stitch,stitch,0.00911899485493986
noise,noise,identity,0.019664820263481916
